	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3
OTU_2845	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
OTU_3374	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	2
OTU_618	0	0	0	3	1	0	0	3	1	4	1	0	0	0	0	19	33	25
OTU_1365	0	0	0	4	1	3	0	0	0	5	0	1	0	0	0	1	2	0
OTU_142	21	36	18	18	10	14	14	12	16	22	15	8	26	26	24	11	25	25
OTU_15	276	317	197	248	175	244	429	364	401	383	183	144	177	206	220	233	302	262
OTU_189	55	61	35	28	19	23	57	49	62	57	35	18	110	94	137	24	34	41
OTU_2152	41	18	28	10	8	14	36	17	23	19	9	8	4	18	5	15	22	17
OTU_2769	29	25	23	17	17	11	23	31	47	16	16	8	12	11	6	10	5	9
OTU_277	3	8	6	15	19	25	11	12	11	46	16	14	12	7	9	30	25	26
OTU_3279	75	78	42	45	28	62	87	108	99	53	36	30	50	37	44	41	44	41
OTU_346	6	6	9	20	16	31	11	12	10	35	24	11	8	5	5	13	11	8
OTU_45	128	129	100	83	64	99	139	113	155	158	74	24	84	98	114	85	84	84
OTU_463	23	29	12	42	18	38	26	26	36	41	22	11	27	20	35	28	28	29
OTU_498	16	10	15	43	13	27	5	13	17	45	18	14	10	10	4	26	19	24
OTU_514	6	9	2	9	9	9	2	8	7	26	17	4	4	4	9	9	14	7
OTU_61	61	81	46	105	73	102	75	68	92	145	93	47	54	71	81	130	161	121
OTU_993	3	10	4	2	1	3	3	0	1	3	1	1	0	3	0	0	5	0
OTU_1252	0	0	0	0	0	1	1	1	1	0	1	0	2	1	2	1	0	0
OTU_1384	2	0	1	0	0	0	0	0	3	3	2	0	0	0	1	3	0	5
OTU_2078	1	0	2	1	0	0	1	6	2	1	0	0	0	0	0	0	1	0
OTU_1609	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	4	1
OTU_2391	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
OTU_3355	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1
OTU_3549	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU_1444	8	2	5	0	0	0	1	2	1	0	1	0	0	4	3	5	0	1
OTU_81	92	140	51	187	187	194	136	114	146	241	186	77	82	82	81	147	193	173
OTU_4	589	810	406	218	203	225	313	437	517	325	277	95	341	325	408	301	294	305
OTU_134	56	80	41	67	45	66	45	51	55	127	66	34	90	51	88	81	78	74
OTU_180	15	27	8	64	42	54	24	25	34	73	50	23	11	34	15	47	56	69
OTU_25	263	284	167	218	161	240	302	304	355	330	233	99	277	229	281	271	329	256
OTU_2783	2	1	0	3	5	3	5	2	1	5	1	0	1	0	3	3	5	3
OTU_3558	1	0	0	12	3	13	0	1	0	17	7	4	1	0	0	4	7	6
OTU_2983	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_140	97	124	69	25	33	37	41	60	85	57	53	13	80	89	120	39	55	40
OTU_2662	3	2	0	2	1	0	0	1	1	2	1	0	1	0	3	6	4	5
OTU_1054	3	0	0	2	0	4	0	0	1	3	2	0	0	1	1	4	2	3
OTU_2036	11	8	1	2	0	2	0	0	0	0	1	0	0	5	1	3	1	0
OTU_56	126	121	124	170	108	168	175	115	137	250	119	54	98	155	116	100	155	115
OTU_1247	0	1	1	0	0	0	1	1	0	0	1	0	9	7	9	5	1	0
OTU_334	13	13	13	31	16	24	2	9	11	52	35	10	6	6	4	37	35	37
OTU_1079	22	33	23	19	7	12	28	16	17	14	9	8	14	15	27	22	8	21
OTU_1720	74	53	44	43	30	33	46	45	55	73	36	21	18	37	27	45	37	38
OTU_29	263	174	187	184	73	180	182	139	188	214	91	60	95	132	81	132	150	136
OTU_721	8	7	7	0	3	1	4	7	5	3	4	3	5	5	5	6	7	3
OTU_1767	1	0	0	0	2	5	0	0	0	6	5	2	0	0	0	1	3	2
OTU_937	4	6	2	1	3	1	4	6	9	3	0	1	3	3	1	3	2	4
OTU_1390	0	0	0	4	0	8	0	1	0	2	1	2	0	1	0	3	2	5
OTU_1095	35	25	19	5	1	13	20	11	19	10	12	8	11	15	21	24	29	32
OTU_42	65	71	61	29	29	17	23	47	40	78	84	24	166	144	166	61	78	70
OTU_716	10	8	11	10	5	8	9	11	11	9	12	3	6	2	5	2	12	6
OTU_754	1	3	3	1	2	2	4	2	5	0	1	0	5	2	6	6	2	1
OTU_3725	0	0	1	1	1	0	1	1	2	0	0	1	1	1	0	4	0	4
OTU_3563	0	3	0	3	0	2	1	1	0	7	0	0	0	0	1	0	0	0
OTU_3431	0	0	0	3	0	0	1	0	0	0	0	0	1	1	2	0	0	0
