Query_id	tax
total_10113875	Unclassified
total_10113898	k__Bacteria
total_10113937	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10114005	k__Bacteria;p__Proteobacteria
total_10114243	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10114271	k__Bacteria
total_10114810	k__Bacteria;p__Proteobacteria
total_1011586	k__Bacteria
total_1011652	k__Bacteria
total_10116586	k__Bacteria
total_10116596	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10116744	k__Bacteria
total_10116897	k__Bacteria
total_10117356	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
total_10117730	k__Bacteria
total_1011821	k__Bacteria
total_1011828	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10119132	k__Bacteria;p__Proteobacteria
total_10119133	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rudaea;s__Rudaea_cellulosilytica
total_10119313	k__Bacteria
total_10119334	k__Bacteria
total_10119646	k__Bacteria
total_10119733	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10119979	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10120154	k__Bacteria;p__Bacteroidetes
total_10120187	Unclassified
total_10120188	k__Bacteria
total_10120660	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10120672	k__Bacteria
total_1012069	k__Bacteria
total_10120742	k__Bacteria
total_10120743	k__Bacteria;p__Acidobacteria
total_10120896	k__Bacteria;p__Proteobacteria
total_10121573	k__Bacteria
total_10121797	k__Bacteria
total_10122124	k__Bacteria
total_1012215	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10123623	k__Bacteria
total_10123624	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10123938	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_101240	k__Bacteria
total_10124251	k__Bacteria
total_10124542	k__Bacteria
total_10124604	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae
total_10125116	k__Bacteria
total_10125147	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10125377	k__Bacteria
total_10125516	k__Bacteria
total_10125842	k__Bacteria
total_10125980	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10126010	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10126483	k__Bacteria
total_10126581	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10126649	k__Bacteria
total_1012690	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10127275	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
total_10127476	k__Bacteria
total_10128070	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10128300	k__Bacteria
total_10128378	k__Bacteria
total_10128591	k__Bacteria
total_10128717	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1012902	k__Bacteria
total_10129758	k__Bacteria
total_10130116	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10130589	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
total_10130632	k__Bacteria;p__Bacteroidetes
total_10130747	k__Bacteria;p__Bacteroidetes
total_1013075	Unclassified
total_10130786	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae;g__Hyalangium;s__Hyalangium_minutum
total_10131061	k__Bacteria
total_101312	k__Bacteria
total_10131341	k__Bacteria;p__Proteobacteria
total_1013187	k__Bacteria
total_10131958	k__Bacteria;p__Firmicutes
total_1013305	k__Bacteria;p__Bacteroidetes
total_10133668	k__Bacteria;p__Actinobacteria
total_10133868	k__Bacteria;p__Proteobacteria
total_10133943	k__Bacteria;p__Bacteroidetes
total_10135051	k__Bacteria
total_10135239	k__Bacteria
total_10136242	k__Bacteria
total_10136342	k__Bacteria;p__Bacteroidetes
total_10136476	k__Bacteria
total_10136593	k__Bacteria
total_10136844	k__Bacteria;p__Proteobacteria
total_10137036	k__Bacteria;p__Proteobacteria
total_10137742	k__Bacteria
total_10137955	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10138002	k__Bacteria
total_10138678	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10138790	k__Bacteria
total_10139087	k__Bacteria
total_10140033	Unclassified
total_10140222	k__Bacteria
total_1014025	k__Bacteria
total_10140326	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae
total_10140369	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_sp._SG8_23
total_10140727	k__Bacteria
total_10140880	k__Bacteria
total_10141045	k__Bacteria
total_10141078	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10141225	k__Bacteria;p__Planctomycetes
total_10141257	k__Bacteria
total_10141434	k__Bacteria;p__Firmicutes
total_10141578	k__Bacteria;p__Bacteroidetes
total_10142014	k__Bacteria;p__Bacteroidetes
total_1014208	k__Bacteria;p__Proteobacteria
total_10142193	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10142525	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10142557	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_1014296	k__Bacteria;p__Proteobacteria
total_10143059	k__Bacteria
total_10143265	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10143821	k__Bacteria
total_1014406	k__Bacteria
total_10144174	k__Bacteria
total_10144347	k__Bacteria
